Location name,Address,Day,Times,Date added,area
Star and Garter Hotel Coromandel,"5 Kapanga Road, Coromandel 3506",Friday 13 August,6:39 pm - 7.40 pm,17-Aug,Coromandel
Umu Cafe Coromandel,"22 Wharf Road, Coromandel,3506",Friday 13 August,7:40 pm - 8.30 pm,17-Aug,Coromandel
BP Gas Station Coromandel,"BP Gas Station, Tiki Road, Coromandel, 3056",Saturday 14 August,9:30 am - 9.40 am,17-Aug,Coromandel
Driving Creek Railway Tours Coromandel - booking office,"380 Driving Creek Road, Coromandel, 3506",Saturday 14 August,10:30 am - 10.50 am,18-Aug,Coromandel
Jaks Cafe & Bar Coromandel,"104 Kapanga Road,Coromandel, 3506",Saturday 14 August,10:50 am - 11.30 am,17-Aug,Coromandel
Driving Creek Railway Tours Coromandel - train tour,"380 Driving Creek Road, Coromandel, 3506",Saturday 14 August,11.20 am - 1.00 pm,18-Aug,Coromandel
Hereford 'n' a Pickle Coromandel,"2318 Colville Road, RD 4, Colville, Coromandel 3584",Saturday 14 August,1:25 pm - 2.15 pm,17-Aug,Coromandel
Taras Beads Coromandel,"1/75 Kapanga Road, Coromandel, 3506",Saturday 14 August,3:00 pm - 3.10 pm,17-Aug,Coromandel
Richardsons Real Estate Coromandel,"151 Kapanga Road, Coromandel, 3506",Saturday 14 August,3:30 pm - 3.35 pm,17-Aug,Coromandel
Umu Cafe Coromandel,"22 Wharf Road, Coromandel,3506",Saturday 14 August,6:17 pm - 7.11 pm,17-Aug,Coromandel
Star and Garter Hotel Coromandel,"5 Kapanga Road, Coromandel 3506",Saturday 14 August,7:11 pm - 9.00 pm,17-Aug,Coromandel
Umu Cafe Coromandel,"22 Wharf Road, Coromandel,3506",Sunday 15 August,10.14 am - 11.10 am,17-Aug,Coromandel
Taras Beads Coromandel,"1/75 Kapanga Road, Coromandel, 3506",Sunday 15 August,10.00 am - 10.05 am,17-Aug,Coromandel
Woodturners Café,3815 State Highway 2 RD6 Mangatarata,Sunday 15 August,12.40 pm - 1.25 pm,17-Aug,Coromandel
